,threshold,fpr,tpr,tpr/fpr ratio
0,1.7277298279032032,0.0,0.0,
1,0.7277298279032032,0.0,0.014705882352941176,inf
2,0.7036245164350758,0.0,0.04411764705882353,inf
3,0.659553215991126,0.022727272727272728,0.04411764705882353,1.9411764705882353
4,0.6100973520707309,0.022727272727272728,0.10294117647058823,4.529411764705882
5,0.6088881457952208,0.045454545454545456,0.10294117647058823,2.264705882352941
6,0.6038410636119607,0.045454545454545456,0.14705882352941177,3.235294117647059
7,0.601966469643519,0.06818181818181818,0.14705882352941177,2.1568627450980395
8,0.6001642935023768,0.06818181818181818,0.16176470588235295,2.3725490196078436
9,0.5950257882578156,0.11363636363636363,0.16176470588235295,1.423529411764706
10,0.588458713466262,0.11363636363636363,0.20588235294117646,1.811764705882353
11,0.5880612227762366,0.13636363636363635,0.20588235294117646,1.5098039215686274
12,0.5837704858690357,0.13636363636363635,0.2647058823529412,1.9411764705882355
13,0.5816569802689425,0.1590909090909091,0.2647058823529412,1.6638655462184875
14,0.580337697871491,0.1590909090909091,0.27941176470588236,1.7563025210084033
15,0.5796496879571412,0.18181818181818182,0.27941176470588236,1.536764705882353
16,0.5761697207646601,0.18181818181818182,0.29411764705882354,1.6176470588235294
17,0.5741442115121015,0.20454545454545456,0.29411764705882354,1.4379084967320261
18,0.5633447235454047,0.20454545454545456,0.4117647058823529,2.0130718954248366
19,0.5620606408745531,0.25,0.4117647058823529,1.6470588235294117
20,0.5607271467914636,0.25,0.4264705882352941,1.7058823529411764
21,0.5492513605113687,0.3409090909090909,0.4264705882352941,1.2509803921568627
22,0.5440239938153777,0.3409090909090909,0.4852941176470588,1.423529411764706
23,0.5378202788437282,0.38636363636363635,0.4852941176470588,1.2560553633217992
24,0.5353191528505844,0.38636363636363635,0.5,1.2941176470588236
25,0.5209163679618614,0.5,0.5,1.0
26,0.5151268449571097,0.5,0.5588235294117647,1.1176470588235294
27,0.5149436451071939,0.5227272727272727,0.5588235294117647,1.0690537084398977
28,0.5131479198448238,0.5227272727272727,0.5882352941176471,1.1253196930946292
29,0.5049922715995101,0.5454545454545454,0.5882352941176471,1.0784313725490198
30,0.5043992991636382,0.5454545454545454,0.6029411764705882,1.1053921568627452
31,0.488416884679532,0.5909090909090909,0.6029411764705882,1.0203619909502262
32,0.48570004005887923,0.5909090909090909,0.6323529411764706,1.0701357466063348
33,0.4848623813936632,0.6136363636363636,0.6323529411764706,1.0305010893246187
34,0.48380829115480484,0.6136363636363636,0.6470588235294118,1.0544662309368191
35,0.4730869164334737,0.6590909090909091,0.6470588235294118,0.9817444219066938
36,0.46910245086475755,0.6590909090909091,0.6764705882352942,1.026369168356998
37,0.4680544606978603,0.6818181818181818,0.6764705882352942,0.9921568627450982
38,0.4416352665024908,0.6818181818181818,0.8382352941176471,1.2294117647058824
39,0.4371995129598232,0.7045454545454546,0.8382352941176471,1.189753320683112
40,0.4256816411727627,0.7045454545454546,0.8676470588235294,1.2314990512333965
41,0.4193472566354952,0.75,0.8676470588235294,1.1568627450980393
42,0.4066129764221794,0.75,0.8823529411764706,1.1764705882352942
43,0.3997839968867195,0.8181818181818182,0.8823529411764706,1.0784313725490196
44,0.3569407479360705,0.8181818181818182,0.9264705882352942,1.1323529411764706
45,0.34576281211204174,0.8636363636363636,0.9264705882352942,1.0727554179566563
46,0.3446966058274639,0.8636363636363636,0.9558823529411765,1.106811145510836
47,0.3441212362064991,0.8863636363636364,0.9558823529411765,1.0784313725490198
48,0.33382340306438046,0.8863636363636364,0.9852941176470589,1.1116138763197587
49,0.21995325559895265,0.9772727272727273,0.9852941176470589,1.0082079343365253
50,0.2193053900573754,0.9772727272727273,1.0,1.0232558139534884
51,0.12640542821735584,1.0,1.0,1.0
